10, 1, 3, 3, 3
15, 4, 5, 5, 3
20, 11, 9, 7, 6
25, 15, 10, 8, 5
30, 25, 16, 11, 7
35, 39, 22, 16, 8
40, 56, 30, 19, 10
45, 76, 40, 23, 11
50, 101, 49, 29, 13
75, 331, 142, 74, 24
100, 730, 301, 142, 36
100, 727, 308, 141, 41
150, 2332, 926, 395, 72
175, 3921, 1548, 650, 100
200, 5505, 2169, 873, 123
225, 7420, 2873, 1162, 141
250, 9958, 3762, 1547, 170
300, 17226, 6529, 2665, 238
350, 26212, 9784, 3875, 302
400, 40323, 14726, 5899, 427
450, 57874, 21678, 8317, 512
500, 82376, 29065, 11306, 671
600, 136000, 49098, 18666, 906
700, 221222, 77651, 29466, 1255
800, 347812, 124333, 46152, 1773
900, 642165, 224398, 82369, 3039
